,Sagaing-10,"Mawlaik, Paungbyin",ရခိုင်-10,"ကျောက်ဖြူ, မာန်အောင်",Kyaukpadaung,Kyaukpadaung,သဲကုန်းမဲဆန္ဒနယ်,သဲကုန်းမြို့နယ်
,Sagaing-11,"Hkamti, Homalin",ရခိုင်-11,"ရမ်းဗြဲ, အမ်း",Chanmyathazi,Chanmyathazi,အုတ်တွင်းမဲဆန္ဒနယ်,အုတ်တွင်းမြို့နယ်
,Sagaing-12,"Leshi, Lahe, Nanyun",ရခိုင်-12,"သံတွဲ, ဂွ, တောင်ကုတ်,",Chanayethazan,Chanayethazan,အုတ်ဖိုမဲဆန္ဒနယ်,အုတ်ဖိုမြို့နယ်
,Sagaing-2,"Shwebo, Wetlet, Tabayin, Khin-U",ရခိုင်-2,ပေါက်တော,Ngazun,Ngazun,ကံမမဲဆန္ဒနယ်,ကံမမြို့နယ်
,Sagaing-3,"Kanbalu, Kyunhla, Ye-U, Taze",ရခိုင်-3,"ရသေ့တောင်, ပုဏ္ဏားကျွန်း",Sintgaing,Sintgaing,ချောက်မဲဆန္ဒနယ်,ချောက်မြို့နယ်
,Sagaing-4,"Ayadaw, Budalin, Chaung-U, Monywa",ရခိုင်-4,မြောက်ဦး,Singu,Singu,ဂန့်ဂေါမဲဆန္ဒနယ်,ဂန့်ဂေါမြို့နယ်
,Sagaing-5,"Kani, Pale, Salingyi, Yinmabin",ရခိုင်-5,ကျောက်တော်,Nyaung-U,Nyaung-U,ငဖဲမဲဆန္ဒနယ်,ငဖဲမြို့နယ်
,Sagaing-6,"Katha, Tigyaing, Indaw",ရခိုင်-6,"မင်းပြား, မြေပုံ",Tada-U,Tada-U,စလင်းမဲဆန္ဒနယ်,စလင်းမြို့နယ်
,Sagaing-7,"Banmauk, Kawlin, Wuntho, Pinlebu",ရခိုင်-7,မောင်တော,Taungtha,Taungtha,စေတုတ္တရာမဲဆန္ဒနယ်,စေတုတ္တရာမြို့နယ်
,Sagaing-8,"Kale, Kalewa, Mingin",ရခိုင်-8,မောင်တော,Natogyi,Natogyi,ဆင်ပေါင်ဝဲမဲဆန္ဒနယ်,ဆင်ပေါင်ဝဲမြို့နယ်
,Sagaing-9,Tamu,ရခိုင်-9,ဘူးသီးတောင်,Pyawbwe,Pyawbwe,ဆိပ်ဖြူမဲဆန္ဒနယ်,ဆိပ်ဖြူမြို့နယ်
